# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,3.1766e-11
2.0000e+01,6.3529e-11
3.0000e+01,9.5283e-11
4.0000e+01,1.2703e-10
5.0000e+01,1.5876e-10
6.0000e+01,1.9046e-10
7.0000e+01,2.2215e-10
8.0000e+01,2.5381e-10
9.0000e+01,2.8544e-10
1.0000e+02,3.1704e-10
1.1000e+02,3.4860e-10
1.2000e+02,3.8011e-10
1.3000e+02,4.1159e-10
1.4000e+02,4.4301e-10
1.5000e+02,4.7438e-10
1.6000e+02,5.0570e-10
1.7000e+02,5.3695e-10
1.8000e+02,5.6815e-10
1.9000e+02,5.9928e-10
2.0000e+02,6.3034e-10
2.1000e+02,6.6132e-10
2.2000e+02,6.9223e-10
2.3000e+02,7.2306e-10
2.4000e+02,7.5381e-10
2.5000e+02,7.8447e-10
2.6000e+02,8.1505e-10
2.7000e+02,8.4553e-10
2.8000e+02,8.7592e-10
2.9000e+02,9.0621e-10
3.0000e+02,9.3640e-10
3.1000e+02,9.6648e-10
3.2000e+02,9.9646e-10
3.3000e+02,1.0263e-09
3.4000e+02,1.0561e-09
3.5000e+02,1.0857e-09
3.6000e+02,1.1153e-09
3.7000e+02,1.1447e-09
3.8000e+02,1.1740e-09
3.9000e+02,1.2031e-09
4.0000e+02,1.2322e-09
4.1000e+02,1.2611e-09
4.2000e+02,1.2898e-09
4.3000e+02,1.3185e-09
4.4000e+02,1.3470e-09
4.5000e+02,1.3754e-09
4.6000e+02,1.4036e-09
4.7000e+02,1.4317e-09
4.8000e+02,1.4597e-09
4.9000e+02,1.4875e-09
5.0000e+02,1.5151e-09
5.1000e+02,1.5427e-09
5.2000e+02,1.5700e-09
5.3000e+02,1.5973e-09
5.4000e+02,1.6243e-09
5.5000e+02,1.6512e-09
5.6000e+02,1.6780e-09
5.7000e+02,1.7046e-09
5.8000e+02,1.7311e-09
5.9000e+02,1.7574e-09
6.0000e+02,1.7835e-09
6.1000e+02,1.8095e-09
6.2000e+02,1.8353e-09
6.3000e+02,1.8610e-09
6.4000e+02,1.8865e-09
6.5000e+02,1.9119e-09
6.6000e+02,1.9371e-09
6.7000e+02,1.9621e-09
6.8000e+02,1.9869e-09
6.9000e+02,2.0116e-09
7.0000e+02,2.0362e-09
7.1000e+02,2.0605e-09
7.2000e+02,2.0848e-09
7.3000e+02,2.1088e-09
7.4000e+02,2.1327e-09
7.5000e+02,2.1564e-09
7.6000e+02,2.1799e-09
7.7000e+02,2.2033e-09
7.8000e+02,2.2266e-09
7.9000e+02,2.2496e-09
8.0000e+02,2.2725e-09
8.1000e+02,2.2953e-09
8.2000e+02,2.3178e-09
8.3000e+02,2.3402e-09
8.4000e+02,2.3625e-09
8.5000e+02,2.3846e-09
8.6000e+02,2.4065e-09
8.7000e+02,2.4283e-09
8.8000e+02,2.4499e-09
8.9000e+02,2.4713e-09
9.0000e+02,2.4926e-09
9.1000e+02,2.5137e-09
9.2000e+02,2.5347e-09
9.3000e+02,2.5555e-09
9.4000e+02,2.5762e-09
9.5000e+02,2.5967e-09
9.6000e+02,2.6170e-09
9.7000e+02,2.6372e-09
9.8000e+02,2.6573e-09
9.9000e+02,2.6772e-09
1.0000e+03,2.6969e-09
1.0100e+03,2.7165e-09
1.0200e+03,2.7359e-09
1.0300e+03,2.7552e-09
1.0400e+03,2.7744e-09
1.0500e+03,2.7934e-09
1.0600e+03,2.8123e-09
1.0700e+03,2.8310e-09
1.0800e+03,2.8496e-09
1.0900e+03,2.8680e-09
1.1000e+03,2.8863e-09
1.1100e+03,2.9045e-09
1.1200e+03,2.9225e-09
1.1300e+03,2.9404e-09
1.1400e+03,2.9582e-09
1.1500e+03,2.9758e-09
1.1600e+03,2.9933e-09
1.1700e+03,3.0107e-09
1.1800e+03,3.0279e-09
1.1900e+03,3.0450e-09
1.2000e+03,3.0620e-09
1.2100e+03,3.0789e-09
1.2200e+03,3.0956e-09
1.2300e+03,3.1123e-09
1.2400e+03,3.1288e-09
1.2500e+03,3.1452e-09
1.2600e+03,3.1614e-09
1.2700e+03,3.1776e-09
1.2800e+03,3.1937e-09
1.2900e+03,3.2096e-09
1.3000e+03,3.2255e-09
1.3100e+03,3.2412e-09
1.3200e+03,3.2568e-09
1.3300e+03,3.2723e-09
1.3400e+03,3.2878e-09
1.3500e+03,3.3031e-09
1.3600e+03,3.3183e-09
1.3700e+03,3.3334e-09
1.3800e+03,3.3485e-09
1.3900e+03,3.3634e-09
1.4000e+03,3.3783e-09
1.4100e+03,3.3930e-09
1.4200e+03,3.4077e-09
1.4300e+03,3.4223e-09
1.4400e+03,3.4368e-09
1.4500e+03,3.4512e-09
1.4600e+03,3.4655e-09
1.4700e+03,3.4798e-09
1.4800e+03,3.4940e-09
1.4900e+03,3.5081e-09
1.5000e+03,3.5221e-09
1.5100e+03,3.5361e-09
1.5200e+03,3.5500e-09
1.5300e+03,3.5638e-09
1.5400e+03,3.5776e-09
1.5500e+03,3.5913e-09
1.5600e+03,3.6049e-09
1.5700e+03,3.6185e-09
1.5800e+03,3.6320e-09
1.5900e+03,3.6454e-09
1.6000e+03,3.6588e-09
1.6100e+03,3.6722e-09
1.6200e+03,3.6855e-09
1.6300e+03,3.6987e-09
1.6400e+03,3.7119e-09
1.6500e+03,3.7250e-09
1.6600e+03,3.7381e-09
1.6700e+03,3.7511e-09
1.6800e+03,3.7641e-09
1.6900e+03,3.7771e-09
1.7000e+03,3.7900e-09
1.7100e+03,3.8029e-09
1.7200e+03,3.8157e-09
1.7300e+03,3.8285e-09
