# Time , Flux-Flux
0.0000e+00,3.6259e-13
1.0000e+01,3.6212e-13
2.0000e+01,3.6072e-13
3.0000e+01,3.5840e-13
4.0000e+01,3.5518e-13
5.0000e+01,3.5112e-13
6.0000e+01,3.4624e-13
7.0000e+01,3.4061e-13
8.0000e+01,3.3428e-13
9.0000e+01,3.2732e-13
1.0000e+02,3.1980e-13
1.1000e+02,3.1178e-13
1.2000e+02,3.0335e-13
1.3000e+02,2.9457e-13
1.4000e+02,2.8551e-13
1.5000e+02,2.7624e-13
1.6000e+02,2.6683e-13
1.7000e+02,2.5733e-13
1.8000e+02,2.4780e-13
1.9000e+02,2.3831e-13
2.0000e+02,2.2888e-13
2.1000e+02,2.1957e-13
2.2000e+02,2.1040e-13
2.3000e+02,2.0143e-13
2.4000e+02,1.9266e-13
2.5000e+02,1.8413e-13
2.6000e+02,1.7584e-13
2.7000e+02,1.6783e-13
2.8000e+02,1.6010e-13
2.9000e+02,1.5265e-13
3.0000e+02,1.4549e-13
3.1000e+02,1.3863e-13
3.2000e+02,1.3207e-13
3.3000e+02,1.2580e-13
3.4000e+02,1.1983e-13
3.5000e+02,1.1414e-13
3.6000e+02,1.0874e-13
3.7000e+02,1.0361e-13
3.8000e+02,9.8753e-14
3.9000e+02,9.4157e-14
4.0000e+02,8.9813e-14
4.1000e+02,8.5713e-14
4.2000e+02,8.1848e-14
4.3000e+02,7.8208e-14
4.4000e+02,7.4784e-14
4.5000e+02,7.1566e-14
4.6000e+02,6.8543e-14
4.7000e+02,6.5707e-14
4.8000e+02,6.3047e-14
4.9000e+02,6.0555e-14
5.0000e+02,5.8220e-14
5.1000e+02,5.6033e-14
5.2000e+02,5.3986e-14
5.3000e+02,5.2069e-14
5.4000e+02,5.0275e-14
5.5000e+02,4.8594e-14
5.6000e+02,4.7020e-14
5.7000e+02,4.5544e-14
5.8000e+02,4.4159e-14
5.9000e+02,4.2858e-14
6.0000e+02,4.1634e-14
6.1000e+02,4.0479e-14
6.2000e+02,3.9388e-14
6.3000e+02,3.8353e-14
6.4000e+02,3.7369e-14
6.5000e+02,3.6428e-14
6.6000e+02,3.5526e-14
6.7000e+02,3.4656e-14
6.8000e+02,3.3812e-14
6.9000e+02,3.2989e-14
7.0000e+02,3.2183e-14
7.1000e+02,3.1388e-14
7.2000e+02,3.0602e-14
7.3000e+02,2.9822e-14
7.4000e+02,2.9044e-14
7.5000e+02,2.8267e-14
7.6000e+02,2.7492e-14
7.7000e+02,2.6718e-14
7.8000e+02,2.5948e-14
7.9000e+02,2.5183e-14
8.0000e+02,2.4428e-14
8.1000e+02,2.3687e-14
8.2000e+02,2.2965e-14
8.3000e+02,2.2268e-14
8.4000e+02,2.1603e-14
8.5000e+02,2.0976e-14
8.6000e+02,2.0395e-14
8.7000e+02,1.9865e-14
8.8000e+02,1.9395e-14
8.9000e+02,1.8989e-14
9.0000e+02,1.8653e-14
9.1000e+02,1.8390e-14
9.2000e+02,1.8205e-14
9.3000e+02,1.8099e-14
9.4000e+02,1.8073e-14
9.5000e+02,1.8125e-14
9.6000e+02,1.8253e-14
9.7000e+02,1.8453e-14
9.8000e+02,1.8720e-14
9.9000e+02,1.9047e-14
1.0000e+03,1.9426e-14
1.0100e+03,1.9848e-14
1.0200e+03,2.0303e-14
1.0300e+03,2.0781e-14
1.0400e+03,2.1270e-14
1.0500e+03,2.1759e-14
1.0600e+03,2.2238e-14
1.0700e+03,2.2694e-14
1.0800e+03,2.3118e-14
1.0900e+03,2.3498e-14
1.1000e+03,2.3827e-14
1.1100e+03,2.4095e-14
1.1200e+03,2.4295e-14
1.1300e+03,2.4421e-14
1.1400e+03,2.4468e-14
1.1500e+03,2.4433e-14
1.1600e+03,2.4311e-14
1.1700e+03,2.4103e-14
1.1800e+03,2.3808e-14
1.1900e+03,2.3427e-14
1.2000e+03,2.2962e-14
1.2100e+03,2.2415e-14
1.2200e+03,2.1790e-14
1.2300e+03,2.1092e-14
1.2400e+03,2.0325e-14
1.2500e+03,1.9496e-14
1.2600e+03,1.8611e-14
1.2700e+03,1.7675e-14
1.2800e+03,1.6696e-14
1.2900e+03,1.5680e-14
1.3000e+03,1.4635e-14
1.3100e+03,1.3566e-14
1.3200e+03,1.2481e-14
1.3300e+03,1.1385e-14
1.3400e+03,1.0286e-14
1.3500e+03,9.1871e-15
1.3600e+03,8.0951e-15
1.3700e+03,7.0143e-15
1.3800e+03,5.9487e-15
1.3900e+03,4.9019e-15
1.4000e+03,3.8771e-15
1.4100e+03,2.8767e-15
1.4200e+03,1.9027e-15
1.4300e+03,9.5689e-16
1.4400e+03,4.0260e-17
1.4500e+03,-8.4636e-16
1.4600e+03,-1.7025e-15
1.4700e+03,-2.5279e-15
1.4800e+03,-3.3225e-15
1.4900e+03,-4.0865e-15
1.5000e+03,-4.8199e-15
1.5100e+03,-5.5230e-15
1.5200e+03,-6.1960e-15
1.5300e+03,-6.8389e-15
1.5400e+03,-7.4518e-15
1.5500e+03,-8.0347e-15
1.5600e+03,-8.5873e-15
1.5700e+03,-9.1095e-15
1.5800e+03,-9.6008e-15
1.5900e+03,-1.0061e-14
1.6000e+03,-1.0489e-14
1.6100e+03,-1.0885e-14
1.6200e+03,-1.1248e-14
1.6300e+03,-1.1577e-14
1.6400e+03,-1.1873e-14
1.6500e+03,-1.2136e-14
1.6600e+03,-1.2364e-14
1.6700e+03,-1.2559e-14
1.6800e+03,-1.2720e-14
1.6900e+03,-1.2848e-14
1.7000e+03,-1.2945e-14
1.7100e+03,-1.3010e-14
1.7200e+03,-1.3046e-14
1.7300e+03,-1.3055e-14
1.7400e+03,-1.3037e-14
1.7500e+03,-1.2995e-14
1.7600e+03,-1.2930e-14
1.7700e+03,-1.2846e-14
1.7800e+03,-1.2743e-14
1.7900e+03,-1.2623e-14
1.8000e+03,-1.2489e-14
1.8100e+03,-1.2342e-14
1.8200e+03,-1.2183e-14
1.8300e+03,-1.2013e-14
1.8400e+03,-1.1833e-14
1.8500e+03,-1.1644e-14
1.8600e+03,-1.1445e-14
1.8700e+03,-1.1236e-14
1.8800e+03,-1.1016e-14
1.8900e+03,-1.0786e-14
1.9000e+03,-1.0542e-14
1.9100e+03,-1.0284e-14
1.9200e+03,-1.0011e-14
1.9300e+03,-9.7206e-15
1.9400e+03,-9.4109e-15
1.9500e+03,-9.0804e-15
1.9600e+03,-8.7275e-15
1.9700e+03,-8.3506e-15
1.9800e+03,-7.9484e-15
1.9900e+03,-7.5198e-15
2.0000e+03,-7.0642e-15
2.0100e+03,-6.5811e-15
2.0200e+03,-6.0705e-15
2.0300e+03,-5.5329e-15
2.0400e+03,-4.9691e-15
2.0500e+03,-4.3805e-15
2.0600e+03,-3.7690e-15
2.0700e+03,-3.1369e-15
2.0800e+03,-2.4868e-15
2.0900e+03,-1.8220e-15
2.1000e+03,-1.1461e-15
2.1100e+03,-4.6286e-16
2.1200e+03,2.2351e-16
2.1300e+03,9.0866e-16
2.1400e+03,1.5881e-15
2.1500e+03,2.2574e-15
2.1600e+03,2.9120e-15
2.1700e+03,3.5475e-15
2.1800e+03,4.1599e-15
2.1900e+03,4.7452e-15
2.2000e+03,5.2999e-15
2.2100e+03,5.8209e-15
2.2200e+03,6.3055e-15
2.2300e+03,6.7515e-15
2.2400e+03,7.1572e-15
2.2500e+03,7.5213e-15
2.2600e+03,7.8433e-15
2.2700e+03,8.1229e-15
2.2800e+03,8.3603e-15
2.2900e+03,8.5562e-15
2.3000e+03,8.7118e-15
2.3100e+03,8.8284e-15
2.3200e+03,8.9076e-15
2.3300e+03,8.9516e-15
2.3400e+03,8.9623e-15
2.3500e+03,8.9421e-15
2.3600e+03,8.8933e-15
2.3700e+03,8.8185e-15
2.3800e+03,8.7199e-15
2.3900e+03,8.6001e-15
2.4000e+03,8.4615e-15
2.4100e+03,8.3064e-15
2.4200e+03,8.1371e-15
2.4300e+03,7.9557e-15
2.4400e+03,7.7644e-15
2.4500e+03,7.5652e-15
2.4600e+03,7.3599e-15
2.4700e+03,7.1503e-15
2.4800e+03,6.9382e-15
2.4900e+03,6.7253e-15
2.5000e+03,6.5130e-15
2.5100e+03,6.3029e-15
2.5200e+03,6.0965e-15
2.5300e+03,5.8952e-15
2.5400e+03,5.7004e-15
2.5500e+03,5.5135e-15
2.5600e+03,5.3358e-15
2.5700e+03,5.1687e-15
2.5800e+03,5.0136e-15
2.5900e+03,4.8716e-15
2.6000e+03,4.7441e-15
2.6100e+03,4.6324e-15
2.6200e+03,4.5375e-15
2.6300e+03,4.4608e-15
2.6400e+03,4.4031e-15
2.6500e+03,4.3656e-15
